OPEID,INSTName,State,StateNO,UGDs,SAT,PCTPELL,Salary,SalaryRate
00182600,Purdue University-North Central Campus,IN,13,3514,954,0.278,35200,0.58704453706741
00183000,Rose-Hulman Institute of Technology,IN,13,2165,1310,0.1839,78900,0.88727271556854
00183200,University of Saint Francis-Fort Wayne,IN,13,1878,981,0.4216,40000,0.72777777910232
00183300,Saint Josephs College,IN,13,1096,998,0.2956,39800,0.62724012136459
00183500,Saint Mary-of-the-Woods College,IN,13,630,895,0.5069,30200,0.55056178569793
00183600,Saint Mary's College,IN,13,1470,1141,0.2029,45600,0.7068965435028
00625700,Saint Elizabeth School of Nursing,IN,13,269,940,0.4743,41800,0.78333336114883
00183800,Taylor University,IN,13,1873,1214,0.1849,38600,0.55967742204666
00183900,Trine University,IN,13,1431,1095,0.2378,42600,0.65300148725509
00184200,Valparaiso University,IN,13,3209,1158,0.2537,48100,0.710762321949
00184700,Buena Vista University,IA,14,2125,1050,0.4897,38100,0.69425803422927
00185000,Central College,IA,14,1303,1089,0.2678,41200,0.72267538309097
00185200,Clarke University,IA,14,995,1048,0.395,40900,0.70601850748062
00185400,Coe College,IA,14,1355,1166,0.283,43800,0.71948605775833
00185600,Cornell College,IA,14,1122,1182,0.3449,41900,0.58426964282989
00185900,Dordt College,IA,14,1338,1119,0.3106,38400,0.69230771064758
00186000,Drake University,IA,14,3310,1240,0.1715,55700,0.79654121398925
00189100,University of Dubuque,IA,14,1687,926,0.5495,36900,0.61927330493927
00712100,Faith Baptist Bible College and Theological Seminary,IA,14,220,1028,0.5364,28100,0.54729729890823
00186600,Graceland University-Lamoni,IA,14,1434,969,0.3973,36600,0.60035526752471
00186700,Grand View University,IA,14,2079,979,0.4574,39200,0.73626375198364
00186800,Grinnell College,IA,14,1661,1357,0.2097,45600,0.56345176696777
00186900,Iowa State University,IA,14,27112,1145,0.2263,47200,0.76763969659805
00187100,Iowa Wesleyan College,IA,14,578,1005,0.5038,34100,0.60655736923217
00189200,University of Iowa,IA,14,21314,1208,0.1906,48700,0.76596558094024
00187300,Loras College,IA,14,1521,1088,0.2441,41200,0.7372013926506
00187400,Luther College,IA,14,2388,1175,0.1929,42500,0.68869125843048
00187900,Morningside College,IA,14,1267,1050,0.3527,35600,0.69724768400192
00188000,Mount Mercy University,IA,14,1454,1010,0.3397,43200,0.79254454374313
00189000,University of Northern Iowa,IA,14,10170,1030,0.2704,41700,0.75589531660079
00188300,Northwestern College,IA,14,1147,1095,0.3222,36200,0.62894248962402
00188900,Saint Ambrose University,IA,14,2716,1050,0.2581,44800,0.74641150236129
00729100,St Luke's College,IA,14,184,1030,0.3695,43200,0.79816514253616
00188700,Simpson College,IA,14,1687,1105,0.2972,45800,0.77923786640167
00189300,Upper Iowa University,IA,14,4513,1010,0.4312,40300,0.73802304267883
00189500,Waldorf College,IA,14,1090,980,0.4982,36400,0.59793812036514
00189600,Wartburg College,IA,14,1669,1077,0.2519,43200,0.75993639230728
00190000,William Penn University,IA,14,1558,926,0.4977,41200,0.65150046348571
00190300,Baker University,KS,15,1759,1086,0.3967,48900,0.77566134929657
01025600,Benedictine College,KS,15,1750,1145,0.21,37800,0.60576921701431
00190400,Bethany College,KS,15,604,956,0.3909,38500,0.64257025718688
00190500,Bethel College-North Newton,KS,15,482,1028,0.3859,37400,0.62857145071029
00190800,Central Christian College of Kansas,KS,15,765,970,0.6166,31100,0.48502993583679
00192700,Emporia State University,KS,15,3724,1030,0.3909,35900,0.61301606893539
00191500,Fort Hays State University,KS,15,11064,990,0.2772,37400,0.62665200233459
00191800,Friends University,KS,15,1568,977,0.4511,41800,0.69178080558776
00194800,University of Kansas,KS,15,18731,1145,0.2216,44600,0.70818728208541
00193900,Newman University,KS,15,1276,1079,0.2253,41900,0.71124029159545
00192900,Kansas Wesleyan University,KS,15,664,1014,0.3826,36600,0.65011286735534
00193100,Manhattan Christian College,KS,15,301,1020,0.3641,30900,0.56493508815765
00193300,McPherson College,KS,15,632,1014,0.4314,35500,0.63035017251968
00703200,MidAmerica Nazarene University,KS,15,1390,950,0.3793,39100,0.6699833869934
00193700,Ottawa University-Ottawa,KS,15,533,1020,0.5744,40700,0.73010063171386
00193702,Ottawa University-Kansas City,KS,15,246,1020,0.3575,40700,0.73010063171386
00192600,Pittsburg State University,KS,15,6005,1010,0.4032,38200,0.65938377380371
00194300,University of Saint Mary,KS,15,782,988,0.3232,39900,0.58295965194702
00194000,Southwestern College,KS,15,1332,1036,0.3604,44200,0.74285715818405
00194500,Sterling College,KS,15,640,1015,0.4304,32100,0.48571428656578
00194600,Tabor College,KS,15,706,1017,0.3634,34400,0.6297709941864
00195000,Wichita State University,KS,15,11198,1089,0.3595,39300,0.66718566417694
00200300,Centenary College of Louisiana,LA,17,579,1131,0.3539,39300,0.61057692766189
00200400,Dillard University,LA,17,1183,884,0.7682,34000,0.48924732208251
00200600,Grambling State University,LA,17,4100,863,0.7346,28300,0.38888889551162
00201100,Louisiana State University-Alexandria,LA,17,1984,950,0.4093,30500,0.5207279920578
00201000,Louisiana State University and Agricultural & Mechanical College,LA,17,23990,1162,0.1978,45900,0.71294170618057
00201300,Louisiana State University-Shreveport,LA,17,2796,1030,0.2997,36700,0.59174311161041
00200700,Louisiana College,LA,17,1081,968,0.454,39600,0.6754098534584
00200800,Louisiana Tech University,LA,17,7047,1089,0.2218,41100,0.64373332262039
00201600,Loyola University New Orleans,LA,17,2910,1143,0.2972,41300,0.61613351106643
00201700,McNeese State University,LA,17,6777,1030,0.3639,36800,0.58359622955322
00201500,University of New Orleans,LA,17,6854,1072,0.3202,38400,0.55136168003082
00200500,Nicholls State University,LA,17,5682,1030,0.3935,35000,0.58546060323715
00202000,University of Louisiana at Monroe,LA,17,5863,1050,0.3727,35700,0.57351106405258
00202100,Northwestern State University of Louisiana,LA,17,7026,1007,0.4023,35000,0.53622609376907
03106200,Our Lady of the Lake College,LA,17,1483,1010,0.3701,44200,0.82370823621749
00202400,Southeastern Louisiana University,LA,17,11704,1030,0.3334,35400,0.57365524768829
